pH;Ionization_1;Ionization_2;Ionization_3;Ionization_4;Ionization_5;Ionization_6;Ionization_7;Ionization_8;Ionization_9;Ionization_10;Ionization_11
0;100;0;0;0;0;0;0;0;0;0;0
0.1;100;0;0;0;0;0;0;0;0;0;0
0.2;100;0;0;0;0;0;0;0;0;0;0
0.3;100;0;0;0;0;0;0;0;0;0;0
0.4;100;0;0;0;0;0;0;0;0;0;0
0.5;100;0;0;0;0;0;0;0;0;0;0
0.6;100;0;0;0;0;0;0;0;0;0;0
0.7;100;0;0;0;0;0;0;0;0;0;0
0.8;100;0;0;0;0;0;0;0;0;0;0
0.9;100;0;0;0;0;0;0;0;0;0;0
1;100;0;0;0;0;0;0;0;0;0;0
1;100;0;0;0;0;0;0;0;0;0;0
1;100;0;0;0;0;0;0;0;0;0;0
1;100;0;0;0;0;0;0;0;0;0;0
1;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
2;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
3;100;0;0;0;0;0;0;0;0;0;0
4;100;0.001;0;0;0;0;0;0;0;0;0
4;100;0.001;0;0;0;0;0;0;0;0;0
4;100;0.001;0;0;0;0;0;0;0;0;0
4;100;0.001;0;0;0;0;0;0;0;0;0
4;100;0.001;0.001;0;0;0;0;0;0;0;0
4;100;0.002;0.001;0;0;0;0;0;0;0;0
4;100;0.002;0.001;0;0;0;0;0;0;0;0
4;100;0.003;0.001;0;0;0;0;0;0;0;0
4;100;0.003;0.001;0;0;0;0;0;0;0;0
4;100;0.004;0.002;0;0;0;0;0;0;0;0
5;100;0.005;0.002;0;0;0;0;0;0;0;0
5;100;0.007;0.003;0;0;0;0;0;0;0;0
5;100;0.008;0.004;0;0;0;0;0;0;0;0
5;100;0.01;0.005;0;0;0;0;0;0;0;0
5;100;0.013;0.006;0;0;0;0;0;0;0;0
5;100;0.017;0.007;0;0;0;0;0;0;0;0
