"frame","MMGBSA dG Bind"
801,
801,-67.3867613142775070
802,-66.4430091208778038
803,-67.4301034648852067
804,-66.3805654206152980
805,-67.4096686425255029
806,-66.2758974403041066
807,-67.3337431530253951
808,-67.2486204641390941
809,-67.4523396141484994
810,-65.5282021217280999
811,-67.3652675329012993
812,-67.4766913023813970
813,-67.2531223492441939
814,-66.5590325533229930
815,-67.3916513456733952
816,-67.3474340615394027
817,-67.3346749043976018
818,-69.5335052126210940
819,-67.2372732985295016
820,-67.4344996834661004
821,-67.1999000416599017
822,-67.2468792891504989
823,-66.8609061225051988
824,-67.1990031128298000
825,-66.1850699650512979
826,-67.3283268508712069
827,-66.4873432794992993
828,-67.3074741875661999
829,-65.7936841974915012
830,-67.2498819871962041
831,-67.3227181683923988
832,-67.3094649316335989
833,-67.2612367263100026
834,-67.3541973480386957
835,-67.5676981991310015
836,-67.3411410639818939
837,-67.3854371004435961
838,-67.4572326325397000
839,-66.5830629162100962
840,-67.6907409745709003
841,-67.4014258389815950
842,-67.3341140717403022
843,-67.3180408251627966
844,-67.3219937408047997
845,-67.5869204838745929
846,-65.9536327403275067
847,-67.3126784398863975
848,-68.7972779558712944
849,-66.4295281388239971
850,-66.5038771951930983
851,-67.4400397975422976
852,-67.5119875691889035
853,-67.3467190679838978
854,-67.3031955788300991
855,-67.3039317884795025
856,-66.6792338711548069
857,-67.4014438842332027
858,-70.4212647594412999
859,-67.3314332923383034
860,-67.2219723417073993
861,-66.5630317000396019
862,-67.4181826928670063
863,-67.3618560169380061
864,-67.0822707562310967
865,-60.6829508131650002
866,-66.5287492812676930
867,-67.3902565751031943
868,-67.3674097247767065
869,-67.2465965444499005
870,-67.2651522394698986
871,-67.2655893925385016
872,-67.4411149143797957
873,-67.3724017819586010
874,365.8411123780620073
875,-53.4678980720437025
876,-67.2545307572109010
877,-44.5210703738285005
878,-67.7111879012191054
879,-60.6702146539973981
880,-67.3183024707705044
881,-65.5990898774817026
882,2133.0758466158499687
883,-67.4707011585324068
884,-67.3668238594272992
885,2134.1453507648798222
886,-67.3104167419588038
887,-66.9880602801732010
888,-67.3653963111573972
889,-59.9771373378970978
890,2132.9814844492598240
891,2134.2584720093200303
892,-67.2575763575078014
893,-67.3321719267697034
894,-66.5681477485213975
895,-65.3559662528495977
896,-64.4899172112272936
897,-66.5329986409270049
898,-67.5323962046258970
899,8724.5688438022607443
900,2134.6290836604398464
901,-67.2842559254822987
902,2130.4233570472501924
903,2130.4087593194999499
904,2129.4065777847299614
905,-67.4862728238222047
906,-67.4460721488158015
907,-56.0151045649963990
908,-62.4739367606052980
909,537.0054381450660230
910,-67.2069301915599056
911,-67.1567591701732027
912,-66.4065766073981933
913,-66.4991613503480039
914,-69.7574819849578063
915,-67.3814011851063981
916,2129.4046570691498346
917,-62.8040076261549984
918,-67.1371839537733024
919,-67.3484328014109934
920,2130.3393007767699601
921,-67.3286099256128949
922,530.6623861522970174
923,2133.3577701210601845
924,-67.3064192890197006
925,-67.6420030323005932
926,-67.1445946401999976
927,2130.3633759570097936
928,-67.1845129805933965
929,-67.4156210407382019
930,2133.1364304274898132
931,-67.2836444296372065
932,2409.8082476801400844
933,-67.2886394174820026
934,2133.4171837828298521
935,-2816.8247154068799318
936,-70.5542625997987045
937,-67.3116314868456982
938,-67.2331177496598968
939,-67.3456249413648038
940,-66.5884614523237985
941,-66.1727928019717950
942,-67.2396255129969944
943,-66.3360720733945044
944,-67.3170570429211068
945,-67.2616266466684039
946,-67.7914766253943952
947,-67.4302175153480050
948,-63.2378902402270029
949,-66.3971396776196059
950,-66.4947356184092939
951,-70.1718839228996956
952,-66.4587848229967051
953,-67.8750935753887035
954,-66.4103941233097004
955,-66.4026291887403062
956,-67.5233231338007016
957,-67.4150523591670066
958,-67.2163426727110931
959,-67.5025807807324014
960,-67.3933004512037002
961,-67.2943848621252982
962,-67.4825413974358952
963,-66.4207691656229002
964,-67.4227701194668043
965,-67.2961953752838014
966,-67.3830002512950017
967,-67.4230636544488959
968,-65.8580833233391019
969,-66.5107048686132032
970,-68.6182055685203949
971,-67.2545005470801982
972,-67.3440851121359003
973,-67.3715016794722033
974,-67.4546536045072997
975,-65.6834331373830054
976,-67.1564548233108951
977,-66.2394415186881957
978,-67.5061941490694011
979,-71.1147647483284970
980,-67.5686531236242018
981,-67.2310047104328987
982,-67.4022125384726962
983,-65.4897850488724060
984,-67.3771049445912951
985,-67.3579742046240000
986,-66.4274287919196951
987,-67.3879890724565058
988,-66.4195908446309033
989,-67.5259410013696026
990,-67.3523862702859049
991,-67.4021032333876065
992,-67.3486118412584034
993,-69.6013110524545056
994,-66.2366998098369066
995,-66.3151943218490061
996,-66.2400421495404004
997,-67.3539515034517962
998,-67.4922928539271965
999,-67.3849003162467994
1000,-66.4581653536624941
1001,-67.2915729539509044
