"frame","MMGBSA dG Bind"
1801,
1801,-65.7874557438554035
1802,-65.5800442777854045
1803,-65.5338499110512060
1804,-65.6461357448607004
1805,-64.5203720386835045
1806,-66.6623626681229950
1807,-64.6240280347683012
1808,-66.5986562963335018
1809,-64.7040139236215026
1810,-65.5036188293343002
1811,-65.5926290732222981
1812,-64.6934352683837943
1813,-67.3813920192952054
1814,-65.5622503210361032
1815,-65.5366448635668064
1816,-65.4399453550449977
1817,-64.6282989090941982
1818,-65.5151039491830005
1819,-65.6809863883100036
1820,-65.5944073542850958
1821,-65.4451807976601998
1822,-65.4767135776837961
1823,-65.6092701657744044
1824,-65.5279266009893036
1825,-65.3900698291435987
1826,-65.4913969294429990
1827,-65.6800902018821944
1828,-65.5267406235615937
1829,-65.5634432420537934
1830,-65.6046875640059000
1831,-65.5022625190450043
1832,-65.4576682881252054
1833,-65.4038528353158028
1834,-65.4022957125561959
1835,-65.5078712881585972
1836,-67.5687045367176040
1837,-67.4904500800021054
1838,-65.4351393043362037
1839,-65.5196779508059990
1840,-65.4429048799011071
1841,-65.4715727404527996
1842,-65.6520560944045002
1843,-64.6472228677884999
1844,-67.4464489925122024
1845,-65.5211712473610959
1846,-65.5991777313429054
1847,-64.6384899217537026
1848,-65.0424945853555982
1849,-65.6075459216098977
1850,-64.9759185985385983
1851,-67.5112464107224071
1852,-67.4849351529937991
1853,-65.5602992224175978
1854,-65.5412644985389932
1855,-65.5518854659149071
1856,-65.6824127189993021
1857,-65.5709737398974966
1858,-67.4176710044194039
1859,-67.4775732239123016
1860,-65.4948252059093932
1861,-65.4921631284377952
1862,-65.5151582317321015
1863,-65.5316426478312053
1864,-65.4771859156790015
1865,-65.4637856365680051
1866,-65.5368299446763984
1867,-65.5302112437238975
1868,-65.6392154149908009
1869,-65.5482773102884977
1870,-65.4759455322745936
1871,-65.5570266754293982
1872,-65.5384845078879010
1873,-67.5286157362170059
1874,-67.5052184213073048
1875,-65.5924976338591961
1876,-65.5978743579980943
1877,-65.6045653476412980
1878,-64.5842602452376013
1879,-65.4890459727302954
1880,-65.6793353962202957
1881,-65.5740868951234006
1882,-65.5654301902196011
1883,-65.4943033263371035
1884,-65.5334004521283049
1885,-65.3741532763815059
1886,-65.6484595196834988
1887,-65.4998159115530001
1888,-65.4520574456837068
1889,-65.5801952311284992
1890,-65.4401871266054940
1891,-65.5924592677510958
1892,-66.5742778422426937
1893,-65.4539510063713976
1894,-65.5926048382534930
1895,-65.4965392622015941
1896,-65.6005480852363974
1897,-65.5496385045335046
1898,-65.4778529870417998
1899,-67.5542805118621033
1900,-65.7120749862787932
1901,-65.5388243620090947
1902,-65.4729585588792986
1903,-65.5075967717620955
1904,-65.7617264559485051
1905,-65.5070019764043963
1906,-65.4756315391914967
1907,-65.5743954569116028
1908,-65.4582478020784038
1909,-65.6099262949629036
1910,-65.5424824165401958
1911,-65.4292063188494950
1912,-65.6027229856135961
1913,-64.5926688504842019
1914,-65.5638382026317998
1915,-64.6003889716739934
1916,-65.5345834394720015
1917,-65.5326617261562063
1918,-65.5326659630537023
1919,-67.5250136095528006
1920,-65.6573044827873957
1921,-65.4924159737729070
1922,-61.5194283650235008
1923,-65.4448589629155038
1924,-64.5781880700033071
1925,-65.6807998199438003
1926,-65.6002609801435028
1927,-64.7124912759263964
1928,-65.6379704194022935
1929,-65.6327459252187992
1930,-65.6490694118219977
1931,-65.5965381643927969
1932,-65.3462189300480958
1933,-65.5789343164142053
1934,-65.4211781319173014
1935,-65.5899289508889041
1936,-67.6809743923003992
1937,-65.6732773742369034
1938,-65.4498367566920933
1939,-65.0529304331994069
1940,-65.4560853227522017
1941,-65.5466873650530033
1942,-65.6288183368214959
1943,-65.5127391383576025
1944,-65.4673680495997985
1945,-67.4933512913521980
1946,-65.6351506914197955
1947,-65.5888179159683062
1948,-65.6213936542535947
1949,-65.5882309378102946
1950,-65.5069057931141003
1951,-63.8988473514146023
1952,-67.5064629855678930
1953,-68.2575657012293959
1954,-68.3927883605337996
1955,-65.6445793052079978
1956,-65.5935732481629969
1957,-65.5369004613020962
1958,-65.6729505886450937
1959,-64.7153120246694016
1960,-65.5262561345825958
1961,-65.4173871853599991
1962,-65.5384295747116994
1963,-67.6386285339759041
1964,-65.5571075865391037
1965,-65.4832052808832970
1966,-65.5695675458610054
1967,-65.4778548239683005
1968,-65.6285218809990027
1969,-65.5133267316378038
1970,-65.5989890192141019
1971,-67.5440110882754965
1972,-67.5510406025077970
1973,-65.4794600105669957
1974,-65.4985076867487948
1975,-61.6081750635420988
1976,-65.8436790560244987
1977,-65.1183225084478039
1978,-65.1129475997495035
1979,-67.5995972082419030
1980,-61.6318701834007001
1981,-65.6381018875509028
1982,-65.5352257672584955
1983,-65.6269763077797990
1984,-65.8944646983746054
1985,-67.6110672252053035
1986,-65.5561383872208978
1987,-65.6446931338450952
1988,-65.5183414542734965
1989,-65.8408894723069977
1990,-67.4883859790733993
1991,-67.3940786967632022
1992,-67.5658154579122936
1993,-67.6386820563348010
1994,-65.4558344305842041
1995,-65.5728378546209996
1996,-65.5963022427585969
1997,-65.4282459888763981
1998,-65.6893209584740987
1999,-65.4531261653646936
2000,-65.1312850645390000
2001,-65.6270142980520035
