Frame,Time (ns),Solvent accessible surface area
1,0.0,14556.894057074318
2,0.100002,14548.561328903148
3,0.200004,14372.103287635531
4,0.30000600000000005,14333.437123692973
5,0.400008,13993.345207315626
6,0.50001,13713.312729738525
7,0.6000120000000001,13773.629413481045
8,0.700014,13769.676412764617
9,0.800016,13562.295613227794
10,0.900018,13658.735517505253
11,1.00002,13924.186023474165
12,1.1000219999999998,13846.319391291976
13,1.2000240000000002,13689.46252713377
14,1.3000260000000001,13527.216634454075
15,1.400028,13302.480337627612
16,1.50003,13374.808807972708
17,1.600032,13537.834006870637
18,1.700034,13484.129984355355
19,1.800036,13461.296630008472
20,1.9000380000000001,13812.796904514378
21,2.00004,13520.534795904747
22,2.1000419999999997,13373.451108313655
23,2.2000439999999997,13509.320706648195
24,2.300046,13463.814521629174
25,2.4000480000000004,13257.755266524626
26,2.5000500000000003,13083.335090180726
27,2.6000520000000003,13154.316728779464
28,2.700054,13108.331440543496
29,2.800056,12821.271261801756
30,2.900058,12829.105694664939
31,3.00006,13307.417135368887
32,3.100062,12930.563979286657
33,3.200064,13296.516916771872
34,3.300066,13162.443823808326
35,3.400068,13460.408240126657
36,3.50007,13572.55568115153
37,3.600072,13557.869285889916
38,3.700074,12774.212101693704
39,3.8000760000000002,12820.35413507011
40,3.900078,13165.588614331557
41,4.00008,12987.839225050402
42,4.1000820000000004,12873.056447836389
43,4.2000839999999995,13280.788634860917
44,4.300086,12904.38640920626
45,4.400087999999999,13034.734570349396
46,4.50009,12748.471234804334
47,4.600092,13055.337702416016
48,4.700094,13232.40580075351
49,4.800096000000001,13115.789909144129
50,4.900098,13090.891422222367
51,5.000100000000001,13014.620640392057
52,5.100102,13099.534039124947
53,5.2001040000000005,13080.06638286886
54,5.3001059999999995,12889.871927329506
55,5.400108,13631.991509417605
56,5.500109999999999,13046.290606513927
57,5.600112,13199.271807926474
58,5.700114,13002.91300496391
59,5.800116,12959.818594700742
60,5.900118,12877.63851381533
61,6.00012,12900.585550322077
62,6.100122000000001,13002.969554908004
63,6.200124,12840.005019224309
64,6.300126000000001,12688.3951422684
65,6.400128,13408.502703388142
66,6.50013,13004.900157985612
67,6.600132,13042.869158763746
68,6.700134,13124.194273616218
69,6.800136,13256.925289937762
70,6.900138,12673.573984671708
71,7.00014,12812.421568419919
72,7.100142,13074.662304886484
73,7.200144,12922.900461268582
74,7.300146,12571.984277703164
75,7.400148,12826.660342375128
76,7.5001500000000005,12678.000275466671
77,7.6001520000000005,12649.494640532506
78,7.700154,12444.43636320185
79,7.800156,12688.312525100891
80,7.900158,12452.01927801456
81,8.00016,12404.114758616704
82,8.100162000000001,12839.44179525699
83,8.200164000000001,12918.825421172562
84,8.300166,12661.036481783629
85,8.400167999999999,12746.468360606988
86,8.50017,12827.87120056403
87,8.600172,13049.332106754018
88,8.700174,12830.317821013909
89,8.800175999999999,12966.250241797079
90,8.900178,12775.769489838978
91,9.00018,12874.039058693113
92,9.100182,12752.618776887399
93,9.200184,12917.711942268568
94,9.300186,12973.759091711896
95,9.400188,12996.255236609371
96,9.50019,12828.59032978508
97,9.600192000000002,12528.783043084208
98,9.700194,12405.853812975954
99,9.800196,12737.064694263765
100,9.900198,12285.848632440751
101,10.000200000000001,12515.770034361007
102,10.100202,12590.391810201978
103,10.200204,12628.857965090789
104,10.300206,13073.03299118504
105,10.400208000000001,12931.786626780518
106,10.500210000000001,13017.238139399124
107,10.600211999999999,12900.61379647695
108,10.700214,13289.810311758187
109,10.800216,12772.423318947389
110,10.900218,13139.27494094052
111,11.000219999999999,13302.7401120631
112,11.100222,13193.32840469979
113,11.200224,13103.760152192963
114,11.300226,12964.702077403688
115,11.400228,12937.649463512635
116,11.50023,12754.770568079704
117,11.600232,12860.11979355866
118,11.700234,12996.455998145473
119,11.800236,12962.149652585063
120,11.900238,13131.388431845506
121,12.00024,13105.516566393957
122,12.100242,13352.979297349131
123,12.200244000000001,13217.474796222654
124,12.300246000000001,13236.939425296554
125,12.400248,12877.708173793575
126,12.50025,12856.900221122747
127,12.600252000000001,12937.545288536809
128,12.700254000000001,12804.019732510658
129,12.800256,12914.103894943979
130,12.900258,13052.161299464193
131,13.00026,13014.470839278449
132,13.100262,12893.611561185615
133,13.200264,13390.422094076506
134,13.300265999999999,12952.91834740839
135,13.400268,12949.398316075776
136,13.50027,13221.946690849998
137,13.600272,13352.241341722447
138,13.700274,13222.92330698655
139,13.800276,13651.922189221037
140,13.900278,13362.757298389382
141,14.00028,13519.735811181745
142,14.100282000000002,13470.819109019196
143,14.200284,13232.787368366131
144,14.300286,12991.140571730179
145,14.400288,12677.65889929158
146,14.500290000000001,12872.670331700192
147,14.600292,12987.507852273484
148,14.700294,12458.708724221504
149,14.800296,12844.77708286699
150,14.900298000000001,13220.062141241515
151,15.000300000000001,12715.458282494665
152,15.100302,12881.429537840668
153,15.200304000000001,12982.980141917102
154,15.300306,12703.301006022599
155,15.400308,12653.737193663508
156,15.500309999999999,13152.902073149884
157,15.600312,12659.356602249944
158,15.700314,12852.500119310562
159,15.800316,12546.203547814217
160,15.900318,12800.49519180549
161,16.00032,12836.602397480028
162,16.100322,13241.58689651177
163,16.200324000000002,12761.410802520286
164,16.300326000000002,13188.279849955648
165,16.400328000000002,13120.46242304747
166,16.50033,12925.751725500211
167,16.600332,12894.658791077796
168,16.700333999999998,12685.044008073692
169,16.800335999999998,12923.095752197465
170,16.900338,12995.052027871736
171,17.00034,12860.92298533868
172,17.100342,12642.697175878791
173,17.200344,12818.66006291421
174,17.300346,12914.269647840341
175,17.400348,12811.067415098169
176,17.50035,12646.068170429784
177,17.600351999999997,12720.519201268708
178,17.700354,12630.350874355187
179,17.800356,12769.15177179163
180,17.900358,12653.179907573893
181,18.00036,12590.624106685134
182,18.100362,12866.73940050639
183,18.200364,12796.41592700123
184,18.300366,12695.77913948642
185,18.400368,12748.65891249626
186,18.50037,12887.24408191894
187,18.600372,12716.996893175348
188,18.700374,12481.402540375286
189,18.800376,12612.605383675345
190,18.900378,12822.934012357598
191,19.00038,12776.901176315894
192,19.100382,12866.636014170697
193,19.200384000000003,13007.842967099305
194,19.300386,13056.09320660511
195,19.400388,13177.026715649947
196,19.50039,13053.301177348536
197,19.600392,13417.347886033247
198,19.700394,13270.954121579227
199,19.800396,12884.914383936743
200,19.900398000000003,12939.086733635962
201,20.000400000000003,13220.988308939453
202,20.100402000000003,12977.261460668684
203,20.200404,12892.056858442264
204,20.300406,13418.685947966356
205,20.400408,13254.816049722529
206,20.50041,13070.05006225851
207,20.600412,13110.642398454595
208,20.700414000000002,12873.00516557484
209,20.800416000000002,12701.360833459803
210,20.900418000000002,13055.96141102413
211,21.000420000000002,12922.281219349099
212,21.100422,12883.984242976177
213,21.200423999999998,13259.33854128164
214,21.300425999999998,12905.835187566392
215,21.400428,12522.746298653361
216,21.50043,12829.124507948161
217,21.600432,13036.519058229513
218,21.700434,13139.099052508149
219,21.800436,12649.035662819784
220,21.900438,13023.333512383286
221,22.000439999999998,12846.505480980974
222,22.100441999999997,12836.263100718412
223,22.200444,13034.692466113875
224,22.300446,12655.584775886271
225,22.400448,12618.12818518609
226,22.50045,12522.190371989203
227,22.600452,12726.01006990815
228,22.700454,12274.590158555693
229,22.800456,12553.266470928245
230,22.900458,12542.256898012647
231,23.00046,12748.698011211492
232,23.100462,12436.491451439251
233,23.200464,12708.083192438451
234,23.300466,12503.043702910898
235,23.400468,12832.794573922774
236,23.50047,12836.178139010686
237,23.600472,12915.85094052978
238,23.700474000000003,12682.989918510268
239,23.800476,12889.91428204303
240,23.900478,12786.54463416286
241,24.00048,12726.66540597455
242,24.100482,12517.544489294803
243,24.200484,12608.462315346706
244,24.300486,12516.919692221538
245,24.400488000000003,13059.589837657022
246,24.500490000000003,12848.003174916172
247,24.600492000000003,12771.378387463697
248,24.700494,12362.92308759313
249,24.800496,12719.602186185637
250,24.900498,12493.840616414982
251,25.0005,12714.047213750895
252,25.100502,12753.294640041973
253,25.200504000000002,12652.831694667115
254,25.300506000000002,12368.466054390636
255,25.400508000000002,12346.727728820248
256,25.500510000000002,12685.352795328563
257,25.600512,12804.835480309199
258,25.700514,12581.968727402034
259,25.800516,12874.251714993454
260,25.900518,12739.4089393496
261,26.00052,12897.478872133357
262,26.100522,12647.945959707375
263,26.200524,12465.873538944417
264,26.300526,12397.818334911113
265,26.400528,12675.903782782658
266,26.500529999999998,12622.712584539779
267,26.600531999999998,12234.64084466906
268,26.700534,12567.37754882
269,26.800536,12686.106555451754
270,26.900538,12368.048720019662
271,27.00054,12484.399066866032
272,27.100542,12422.816354472305
273,27.200544,12406.453591518937
274,27.300546,12108.231235985304
275,27.400548,12391.784186563798
276,27.50055,12491.361862850203
277,27.600552,12328.66359068145
278,27.700554,12356.785695325632
279,27.800556,12012.741015786427
280,27.900558,12497.706149786833
281,28.00056,12097.188674261955
282,28.100562,12380.171190072733
283,28.200564000000004,12261.321741101197
284,28.300566,12207.127946651523
285,28.400568,12271.195233267628
286,28.50057,12417.656169307718
287,28.600572,12462.831115915411
288,28.700574,12844.86728645777
289,28.800576,12480.41380886501
290,28.900578000000003,12324.365097508455
291,29.000580000000003,12064.154613637225
292,29.100582000000003,12208.581331885318
293,29.200584,12424.85949994305
294,29.300586,12514.73618826147
295,29.400588,12483.89888458705
296,29.50059,12590.77060854124
297,29.600592,12506.966576122088
298,29.700594000000002,12036.150969146052
299,29.800596000000002,11925.13728915066
300,29.900598000000002,12392.291860345958
301,30.000600000000002,12251.17146793944
302,30.100602,12400.703637037466
303,30.200604,12235.585870232546
304,30.300606,12253.404160936765
305,30.400608000000002,12231.842828807907
306,30.50061,12124.931512817626
307,30.600612,12244.821982012227
308,30.700614,12320.562435573414
309,30.800616,12137.989697971525
310,30.900618,12056.077954829083
311,31.000619999999998,12359.239777389492
312,31.100621999999998,12648.548906079428
313,31.200624,12464.427947999962
314,31.300626,12260.986003550839
315,31.400628,12742.251615273444
316,31.50063,12668.987616351134
317,31.600632,12700.796924582684
318,31.700634,12590.421370314145
319,31.800636,12558.977436532168
320,31.900638,12737.17969951314
321,32.00064,12425.619610256455
322,32.100642,12508.618587740159
323,32.200644,12658.888351858212
324,32.300646,12519.126593373057
325,32.400648000000004,12355.993183907172
326,32.50065,12801.432078199057
327,32.600652000000004,12468.812014378997
328,32.700654,12185.78199933573
329,32.800656000000004,12801.394929377462
330,32.900658,12695.297287588637
331,33.00066,12756.995677553394
332,33.10066200000001,12300.95713077679
333,33.200664,12305.352295142802
334,33.300666,12889.904705505554
335,33.400667999999996,12702.36276256778
336,33.50067,12755.620554439332
337,33.600671999999996,12461.701041163857
338,33.700674,12506.263841932307
339,33.800676,12606.420025182591
340,33.900678,12650.212904631402
341,34.00068,12977.558786019972
342,34.100682,12419.19091802624
343,34.200684,12470.78840346818
344,34.300686,12518.153551998239
345,34.400688,12793.373825734821
346,34.500690000000006,12359.676079432365
347,34.600692,12703.181056121175
348,34.700694000000006,12666.942810960765
349,34.800696,12431.148190658849
350,34.900698000000006,12438.072539195206
351,35.0007,12104.410152701992
352,35.100702,12553.024173406917
353,35.200703999999995,12825.462183152189
354,35.300706,12619.235632400589
355,35.400708,12384.361512443487
356,35.50071,12431.59647438615
357,35.600712,12306.73588012117
358,35.700714,12565.47460297518
359,35.800716,12289.202058344668
360,35.900718,12604.511928295477
361,36.00072,12485.94535935526
362,36.100722000000005,12106.639534721404
363,36.200724,12207.642623549162
364,36.300726000000004,12258.352669420072
365,36.400728,12672.943658274598
366,36.500730000000004,12544.784370829177
367,36.600732,12333.06427960745
368,36.700734000000004,12601.392922730147
369,36.800736,12337.743845722098
370,36.900738,12113.519166176164
371,37.00074,12075.716013644114
372,37.100742,12237.652138042518
373,37.200744,12375.05203539711
374,37.300746,12498.296573675278
375,37.400748,12559.563556377014
376,37.50075,12400.742849040205
377,37.600752,12262.296040720139
378,37.700754,12462.324133434553
379,37.800756,12819.748717221715
380,37.900758,12353.096970501214
381,38.00076,12170.144676218139
382,38.100762,12410.031196068814
383,38.200764,12371.007178032101
384,38.300766,12875.286392281096
385,38.40076800000001,12521.5623880415
386,38.50077,12487.719457297953
387,38.600772,12789.8074268209
388,38.700773999999996,12745.626544106275
389,38.800776,12522.824234061047
390,38.900777999999995,12396.108139711978
391,39.00078,12802.889281883192
392,39.100782,12406.198738181965
393,39.200784,12984.27021737453
394,39.300786,12838.353067745427
395,39.400788,12989.522843120898
396,39.50079,12818.486724760136
397,39.600792,12495.128128954631
398,39.700794,12209.63978599354
399,39.800796000000005,12447.624048110658
400,39.900798,12328.769292653973
401,40.000800000000005,12748.652298322511
402,40.100802,12384.755531462753
403,40.200804000000005,12763.543592939563
404,40.300806,12377.28946898082
405,40.400808,12776.177405100374
406,40.500809999999994,12388.951914830212
407,40.600812,12389.543534775068
408,40.700814,12454.478802180618
409,40.800816,12764.018897428658
410,40.900818,12560.216295398202
411,41.00082,12374.826736030325
412,41.100822,12329.17605097907
413,41.200824,12259.764366833302
414,41.300826,12192.446637344809
415,41.400828000000004,12159.41671969264
416,41.50083,12168.91204848037
417,41.600832000000004,12269.780534299545
418,41.700834,12246.701809868417
419,41.800836000000004,12310.178366328872
420,41.900838,12469.20908271239
421,42.000840000000004,12470.913245851347
422,42.10084200000001,12223.035171783564
423,42.200844,12519.910260858527
424,42.300846,12571.446596996075
425,42.400847999999996,12773.908214625751
426,42.50085,12776.69231495083
427,42.600851999999996,12623.167778321304
428,42.700854,12765.303674008455
429,42.800856,12620.984835962523
430,42.900858,13011.572129550535
431,43.00086,12651.584206963951
432,43.100862,12589.543845379256
433,43.200864,12707.91561869671
434,43.300866,12577.408929761757
435,43.400868,12892.126595505772
436,43.500870000000006,12765.931640028492
437,43.600872,12683.132002287128
438,43.700874000000006,12289.520954138869
439,43.800876,12353.47957785038
440,43.900878000000006,12565.441414246849
441,44.000879999999995,12460.975245465886
442,44.100882,12755.790951398845
443,44.200883999999995,12872.668968123624
444,44.300886,12566.373813324908
445,44.400888,13227.871255023196
446,44.50089,12865.118898707144
447,44.600892,12807.702054978572
448,44.700894,12898.014503045119
449,44.800896,12741.59938851422
450,44.900898,12363.227505483708
451,45.0009,12803.798287760557
452,45.100902000000005,12659.002917007496
453,45.200904,12634.545308581495
454,45.300906000000005,12569.795017063168
455,45.400908,12604.561056890227
456,45.500910000000005,12432.092927672684
457,45.600912,12595.881883755312
458,45.700914000000004,12464.82220424409
459,45.800916,12330.491571020475
460,45.900918,12840.907200790183
461,46.00092,12712.026497493898
462,46.100922,13130.261175103224
463,46.200924,12791.901788320543
464,46.300926,12594.919461059231
465,46.400928,12487.509360425775
466,46.50093,12812.109401382633
467,46.600932,12645.651646428534
468,46.700934000000004,12665.63916653212
469,46.800936,12593.356957334838
470,46.900938000000004,12556.262804599559
471,47.00094,12669.584784250043
472,47.100942,12793.367100565658
473,47.200944,12863.187171859896
474,47.300946,12574.983846528694
475,47.40094800000001,12651.876759453806
476,47.50095,12849.017271190985
477,47.600952,12993.300858960905
478,47.700953999999996,13049.17187664989
479,47.800956,12531.37359863376
480,47.900957999999996,12743.679901536676
481,48.00096,12535.435300729028
482,48.100962,12614.902758892804
483,48.200964,12620.565183863155
484,48.300966,12962.87314579377
485,48.400968,12485.761101204957
486,48.50097,12263.102432152098
487,48.600972,12459.669192232599
488,48.700974,12378.546628806154
489,48.800976000000006,12534.330909519795
490,48.900978,12582.8924967899
491,49.000980000000006,12585.089919191525
492,49.100982,12644.653842572241
493,49.200984000000005,12757.878994767856
494,49.300986,12258.580737830842
495,49.400988,12471.822215039707
496,49.500989999999994,12373.66817863261
497,49.600992,12137.52140760041
498,49.700994,12184.11033484703
499,49.800996,12189.488051925615
500,49.900998,12117.621794720626
501,50.001,12314.820661971316
502,50.101002,12304.573099013289
503,50.201004,12221.510414277265
504,50.301006,12113.095363646271
505,50.401008000000004,12122.54331036115
506,50.50101,12286.387460121245
507,50.601012000000004,12153.140527667574
508,50.701014,12332.619889348078
509,50.801016000000004,12136.67812748788
510,50.901018,12272.445575476162
511,51.001020000000004,12452.506860359174
512,51.10102200000001,11682.013723862006
513,51.201024,11817.276830606259
514,51.301026,12049.298105758617
515,51.401028,12298.38325569295
516,51.50103,12375.891618279362
517,51.601032,12694.229909958716
518,51.701034,12268.564151067145
519,51.801036,12189.400312062451
520,51.901038,12512.119868946014
521,52.00104,12595.832026574246
522,52.101042,12265.317588764225
523,52.201044,12507.872451619172
524,52.301046,12477.374729764973
525,52.401048,12412.39992565915
526,52.501050000000006,12671.825835317204
527,52.601052,12192.27067836053
528,52.701054000000006,12779.383083118755
529,52.801056,12231.308167302777
530,52.901058000000006,12168.584386486853
531,53.001059999999995,11901.72970455991
532,53.101062,12150.849274015625
533,53.201063999999995,11985.950484722978
534,53.301066,12242.766478248031
535,53.401068,12134.013129667881
536,53.50107,12045.233519387586
537,53.601072,12094.79861135141
538,53.701074,11816.341354691142
539,53.801076,12187.809944005341
540,53.901078,12087.573306611466
541,54.00108,12095.534000394557
542,54.101082000000005,12388.696674873612
543,54.201084,12438.000091370513
544,54.301086000000005,12268.171177425811
